InputID,TargetID,Distance
30,22,57.2837588
30,23,53.00428353
30,24,48.86183708
30,25,44.96476933
30,26,41.64577442
30,27,37.98703483
30,28,33.55816591
30,29,29.31358359
30,31,23.31760219
30,32,42.70161556
30,33,56.82814165
30,34,66.82264784
30,35,76.60142849
30,36,86.1372455
30,37,112.3298737
30,38,116.2523068
30,39,120.921342
30,40,125.9206372
30,41,135.9193833
31,22,80.37947422
31,23,76.21150739
31,24,72.14934401
31,25,68.28218529
31,26,64.90099484
31,27,61.19100653
31,28,56.85064751
31,29,52.62749248
31,30,23.31760219
31,32,19.47350519
31,33,33.52147269
31,34,43.51093758
31,35,53.30206829
31,36,62.89804976
31,37,89.1723468
31,38,93.02168812
31,39,97.67322976
31,40,102.673229
31,41,112.6732276
32,22,99.85155472
32,23,95.66656731
32,24,91.56337271
32,25,87.62149065
32,26,84.10881049
32,27,80.34656951
32,28,76.12556851
32,29,72.0043966
32,30,42.70161556
32,31,19.47350519
32,33,14.23487613
32,34,24.22007773
32,35,33.93268738
32,36,43.44071877
32,37,69.69888011
32,38,73.56181996
32,39,78.22321561
32,40,83.22290372
32,41,93.22238031
33,22,113.8316709
33,23,109.7131756
33,24,105.670774
33,25,101.7827571
33,26,98.31535547
33,27,94.56271852
33,28,90.31197146
33,29,86.14172419
33,30,56.82814165
33,31,33.52147269
33,32,14.23487613
33,34,10
33,35,19.78316998
33,36,29.48947409
33,37,55.87647743
33,38,59.58449262
33,39,64.20587095
33,40,69.20459427
33,41,79.20252443
34,22,123.7797492
34,23,119.6831575
34,24,115.6576417
34,25,111.7802679
34,26,108.3146315
34,27,104.5601776
34,28,100.3118684
34,29,96.13589935
34,30,66.82264784
34,31,43.51093758
34,32,24.22007773
34,33,10
34,35,9.836365761
34,36,19.71222624
34,37,46.11644641
34,38,49.7035281
34,39,54.29443322
34,40,59.28959975
34,41,69.28202479
35,22,133.605285
35,23,129.4957675
35,24,125.4509284
35,25,121.5458283
35,26,118.0386597
35,27,114.2699756
35,28,110.0577787
35,29,105.9141254
35,30,76.60142849
35,31,53.30206829
35,32,33.93268738
35,33,19.78316998
35,34,9.836365761
35,36,10
35,37,36.33699143
35,38,39.87032575
35,39,44.45808294
35,40,49.45341103
35,41,59.44642387
36,22,143.2701906
36,23,139.1057311
36,24,134.9980049
36,25,131.0189514
36,26,127.41747
36,27,123.6210506
36,28,119.4898844
36,29,115.4274699
36,30,86.1372455
36,31,62.89804976
36,32,43.44071877
36,33,29.48947409
36,34,19.71222624
36,35,10
36,37,26.40941982
36,38,30.12367212
36,39,34.78416604
36,40,39.78339174
36,41,49.78230972
37,22,169.5469116
37,23,165.3313974
37,24,161.160748
37,25,157.1028189
37,26,153.394203
37,27,149.5685419
37,28,145.5373896
37,29,141.5680572
37,30,112.3298737
37,31,89.1723468
37,32,69.69888011
37,33,55.87647743
37,34,46.11644641
37,35,36.33699143
37,36,26.40941982
37,38,5
37,39,9.511253861
37,40,14.19086687
37,41,23.94189231
38,22,173.3927118
38,23,169.2281689
38,24,165.1100051
38,25,161.1075833
38,26,157.462539
38,27,153.6520122
38,28,149.5637789
38,29,145.5324949
38,30,116.2523068
38,31,93.02168812
38,32,73.56181996
38,33,59.58449262
38,34,49.7035281
38,35,39.87032575
38,36,30.12367212
38,37,5
38,39,4.761565195
38,40,9.70747938
38,41,19.68147508
39,22,178.0322297
39,23,173.8842409
39,24,169.7821653
39,25,165.7956265
39,26,162.1672224
39,27,158.3605638
39,28,154.2583087
39,29,150.2104639
39,30,120.921342
39,31,97.67322976
39,32,78.22321561
39,33,64.20587095
39,34,54.29443322
39,35,44.45808294
39,36,34.78416604
39,37,9.511253861
39,38,4.761565195
39,40,5
39,41,15
40,22,183.0318075
40,23,178.8842233
40,24,174.7812579
40,25,170.7922558
40,26,167.1589953
40,27,163.3507671
40,28,159.2533404
40,29,155.2088262
40,30,125.9206372
40,31,102.673229
40,32,83.22290372
40,33,69.20459427
40,34,59.28959975
40,35,49.45341103
40,36,39.78339174
40,37,14.19086687
40,38,9.70747938
40,39,5
40,41,10
41,22,193.0310288
41,23,188.8841909
41,24,184.7795904
41,25,180.7860736
41,26,177.1439333
41,27,173.3328677
41,28,169.244284
41,29,165.2058482
41,30,135.9193833
41,31,112.6732276
41,32,93.22238031
41,33,79.20252443
41,34,69.28202479
41,35,59.44642387
41,36,49.78230972
41,37,23.94189231
41,38,19.68147508
41,39,15
41,40,10
48,47,7.272719831
48,46,7.90395323
48,45,11.04773731
48,44,15.83091634
48,43,20.82670775
48,42,25.82412824
48,49,5
48,50,10
48,51,14.85961779
48,52,19.28980266
48,53,23.94545327
48,54,29.86476805
48,55,49.71451029
48,56,59.51447083
48,59,64.76972367
48,58,70.2429654
48,57,64.86634366
48,60,65.20969434
48,61,64.07241425
49,47,8.567274672
49,46,11.50665718
49,45,15.53731392
49,44,20.34118654
49,43,25.28501925
49,42,30.24732265
49,48,5
49,50,5
49,51,9.86372064
49,52,14.38680171
49,53,19.14855456
49,54,25.61158838
49,55,45.25117778
49,56,55.49577739
49,59,61.7833531
49,58,66.66160074
49,57,60.86869421
49,60,61.84537725
49,61,60.31238211
50,47,11.9959967
50,46,15.88501943
50,45,20.26730736
50,44,25.03816742
50,43,29.91509053
50,42,34.82693577
50,48,10
50,49,5
50,51,4.876241257
50,52,9.584552154
50,53,14.48963599
50,54,21.67954215
50,55,40.91216992
50,56,51.64872096
50,59,59.06985979
50,58,63.27293133
50,57,57.02940758
50,60,58.71453942
50,61,56.74409754
51,47,16.35450635
51,46,20.56977227
51,45,25.07511086
51,44,29.82186724
51,43,34.65709616
51,42,39.53333862
51,48,14.85961779
51,49,9.86372064
51,50,4.876241257
51,52,5
51,53,10
51,54,17.98236375
51,55,36.58033408
51,56,47.77188856
51,59,56.29704288
51,58,59.81183887
51,57,53.14305822
51,60,55.52599376
51,61,53.12693174
52,47,21.33744173
52,46,25.453097
52,45,29.84013865
52,44,34.61880992
52,43,39.49947974
52,42,44.40670894
52,48,19.28980266
52,49,14.38680171
52,50,9.584552154
52,51,5
52,53,5
52,54,13.30282331
52,55,31.58143195
52,56,42.87732331
52,59,52.00079486
52,58,55.09255899
52,57,48.24061068
52,60,50.96538841
52,61,48.33838676
53,47,26.32684868
53,46,30.37440967
53,45,34.67140846
53,44,39.46619104
53,43,44.37683501
53,42,49.30544326
53,48,23.94545327
53,49,19.14855456
53,50,14.48963599
53,51,10
53,52,5
53,54,8.9757902
53,55,26.58294278
53,56,38.01021406
53,59,47.84149136
53,58,50.42741361
53,57,43.36044743
53,60,46.49522178
53,61,43.59734387
54,47,33.64814143
54,46,37.1182229
54,45,40.90632618
54,44,45.69565602
54,43,50.69033485
54,42,55.68596875
54,48,29.86476805
54,49,25.61158838
54,50,21.67954215
54,51,17.98236375
54,52,13.30282331
54,53,8.9757902
54,55,20
54,56,29.97139504
54,59,38.87218342
54,58,41.83248569
54,57,35.35205956
54,60,37.66646815
54,61,35.15621946
55,47,52.86156598
55,46,56.7036691
55,45,60.71463598
55,44,65.51939172
55,43,70.49754052
55,42,75.47857807
55,48,49.71451029
55,49,45.25117778
55,50,40.91216992
55,51,36.58033408
55,52,31.58143195
55,53,26.58294278
55,54,20
55,56,13.37158227
55,59,29.69615958
55,58,27.18818204
55,57,18.15654129
55,60,25.58999383
55,61,20.07394862
56,47,63.61853671
56,46,66.98352536
56,45,70.54266174
56,44,75.28089441
56,43,80.27831213
56,42,85.27603259
56,48,59.51447083
56,49,55.49577739
56,50,51.64872096
56,51,47.77188856
56,52,42.87732331
56,53,38.01021406
56,54,29.97139504
56,55,13.37158227
56,59,18.55200805
56,58,13.84185134
56,57,5.380712798
56,60,13.24075597
56,61,6.801426408
62,63,5
62,64,10
62,65,15
62,66,19.70400778
63,62,5
63,64,5
63,65,10
63,66,14.70400929
64,62,10
64,63,5
64,65,5
64,66,9.704012348
65,62,15
65,63,10
65,64,5
65,66,4.704021924
66,62,19.70400778
66,63,14.70400929
66,64,9.704012348
66,65,4.704021924
69,67,15.57589514
69,68,16.36318364
69,71,31.738606
69,70,15.50694065
69,72,49.93372962
69,73,74.57287403
70,67,30.69599004
70,68,31.86994579
70,69,15.50694065
70,71,18.53654364
70,72,34.76091597
70,73,61.35114771
71,67,47.27178599
71,68,47.24349938
71,69,31.738606
71,70,18.53654364
71,72,20.41892554
71,73,60.18777182
72,67,65.38855585
72,68,66.12665366
72,69,49.93372962
72,71,20.41892554
72,70,34.76091597
72,73,46.87880827
73,67,86.0682632
73,68,89.28165518
73,69,74.57287403
73,71,60.18777182
73,70,61.35114771
73,72,46.87880827
74,75,5
74,76,10
74,77,11.5844402
74,78,14.04323611
74,79,18.3615499
74,84,32.93493592
74,83,31.29908218
74,82,31.88508107
74,81,30.37761482
74,80,29.93491346
74,89,63.79515132
74,88,53.57237583
74,87,47.30595492
74,86,42.752499
74,85,40.38013952
74,93,84.37323213
74,92,74.16146265
74,91,82.21926093
74,90,74.64491225
74,98,94.53924013
74,97,99.03341467
74,96,100.494992
74,95,99.06288603
74,94,96.12789623
74,102,119.9049106
74,101,114.6954537
74,100,109.9956775
74,99,105.6859461
75,74,5
75,76,5
75,77,10.1233783
75,78,10.7833078
75,79,14.80536261
75,84,28.65527898
75,83,26.41085169
75,82,26.92391625
75,81,25.5901924
75,80,25.48080154
75,89,59.38556506
75,88,49.27795076
75,87,42.65962439
75,86,37.82490916
75,85,35.49169821
75,93,79.42799694
75,92,69.2428113
75,91,77.60269743
75,90,70.38302644
75,98,89.54644661
75,97,94.08836557
75,96,95.65003543
75,95,94.27765044
75,94,91.40904161
75,102,115.1737995
75,101,109.8576336
75,100,105.0722736
75,99,100.7060396
80,74,29.93491346
80,75,25.48080154
80,76,21.27071814
80,77,21.64870221
80,78,16.91815704
80,79,12.92780266
80,84,28.45840736
80,83,18.91371205
80,82,9.963958326
80,81,4.968091823
80,89,33.90513258
80,88,23.85965381
80,87,17.59162452
80,86,16.07429148
80,85,23.95283446
80,93,56.3226169
80,92,45.85401258
80,91,52.34274559
80,90,44.96071702
80,98,67.65558187
80,97,70.83811375
80,96,71.31289938
80,95,69.57923284
80,94,66.42713129
80,102,100.2209156
80,101,93.38259404
80,100,87.02123668
80,99,81.07793805
81,74,30.37761482
81,75,25.5901924
81,76,20.90254559
81,77,23.71219462
81,78,18.73798275
81,79,15.39857408
81,84,23.91588275
81,83,14.15578
81,82,5
81,80,4.968091823
81,89,34.60137124
81,88,25.20968204
81,87,17.27197625
81,86,12.96879059
81,85,19.01957642
81,93,54.35991153
81,92,44.00759148
81,91,52.15587902
81,90,46.01585719
81,98,65.18989728
81,97,68.9874924
81,96,70.13036184
81,95,68.69306785
81,94,65.83108714
81,102,96.17063514
81,101,89.56933933
81,100,83.50513346
81,99,77.92722602
82,74,31.88508107
82,75,26.92391625
82,76,21.98035799
82,77,26.79402542
82,78,21.80743694
82,79,19.08402319
82,84,19.71809857
82,83,9.736691104
82,81,5
82,80,9.963958326
82,89,35.7142148
82,88,27.17286566
82,87,18.08345541
82,86,10.99717075
82,85,14.03885596
82,93,52.50992317
82,92,42.37664851
82,91,52.15737413
82,90,47.30916396
82,98,62.74740689
82,97,67.16957879
82,96,68.99631831
82,95,67.86962584
82,94,65.31889323
82,102,92.01436433
82,101,85.66075532
82,100,79.91124071
82,99,74.72430552
83,74,31.29908218
83,75,26.41085169
83,76,21.57391082
83,77,29.79236
83,78,25.25178358
83,79,24.04376989
83,84,10
83,82,9.736691104
83,81,14.15578
83,80,18.91371205
83,89,43.70818111
83,88,36.07325063
83,87,26.40240433
83,86,17.25088468
83,85,9.082105971
83,93,55.81897177
83,92,46.36095908
83,91,58.5248834
83,90,55.31490518
83,98,64.64001231
83,97,70.28969851
83,96,73.35768654
83,95,72.77216733
83,94,70.75200277
83,102,88.95327563
83,101,83.46261721
83,100,78.70824185
83,99,74.63976894
84,74,32.93493592
84,75,28.65527898
84,76,24.64832698
84,77,34.8165542
84,78,31.03471408
84,79,31.02596497
84,83,10
84,82,19.71809857
84,81,23.91588275
84,80,28.45840736
84,89,52.8776107
84,88,45.78441181
84,87,35.94855262
84,86,26.32426492
84,85,13.33703503
84,93,61.38013468
84,92,52.70558997
84,91,66.4499384
84,90,64.40328272
84,98,68.77539612
84,97,75.42613125
84,96,79.52173396
84,95,79.39388327
84,94,77.82630337
84,102,87.7020333
84,101,83.21822161
84,100,79.58005427
84,99,76.70997014
85,74,40.38013952
85,75,35.49169821
85,76,30.63928225
85,77,38.42288011
85,78,33.69893097
85,79,31.92374428
85,84,13.33703503
85,83,9.082105971
85,82,14.03885596
85,81,19.01957642
85,80,23.95283446
85,89,40.77946404
85,88,34.98243657
85,87,24.99112935
85,86,15
85,93,48.26826343
85,92,39.39955086
85,91,53.27651327
85,90,52.08795477
85,98,56.31563831
85,97,62.49496791
85,96,66.27681322
85,95,66.07692556
85,94,64.49013066
85,102,79.99402154
85,101,74.39826493
85,100,69.63871675
85,99,65.70440503
86,74,42.752499
86,75,37.82490916
86,76,32.91916364
86,77,36.68075784
86,78,31.70298887
86,79,28.30434588
86,84,26.32426492
86,83,17.25088468
86,82,10.99717075
86,81,12.96879059
86,80,16.07429148
86,89,26.57026674
86,88,19.99308378
86,87,9.995009064
86,85,15
86,93,41.63248943
86,92,31.41927941
86,91,41.59800519
86,90,38.13728676
86,98,52.2387981
86,97,56.29002296
86,96,57.99981492
