id,Moi,Temp,Ecp
276,49.5,26,100
277,42.9,26,92
278,42.1,25.9,130
279,31.8,25.9,75
280,32.1,25.9,160
286,35.9,26.3,81
285,46.4,26.3,76
284,44.7,26.3,111
283,38.1,26.5,104
282,47.1,26.3,104
281,40.8,26.2,166
287,36.7,26.9,134
288,37.6,26.8,121
289,40.4,26.7,118
290,48.2,26.6,125
291,40.3,26.5,133
292,45.2,26.4,122
293,35.1,26.5,126
294,27.4,26.5,197
295,31.4,26.5,112
296,27.4,26.5,92
297,38.3,26.4,92
298,35,26.4,70
299,47.2,27.5,95
300,43.8,27.5,149
301,47.7,27.4,98
302,52.3,27.4,126
303,47.2,27.4,122
304,34.7,27.1,118
305,31.4,27.1,88
306,33.7,27,185
307,28.6,26.8,131
308,34.7,26.8,104
309,28.4,26.8,119
310,24.3,26.7,145
311,23.1,26.7,164
312,27.4,26.6,138
313,44.5,26.4,92
314,55.8,26.3,98
315,44.1,25.4,108
316,53.5,25.3,107
317,50.9,25.2,82
318,53.2,25.1,84
319,55.1,25.5,89
320,38.3,25.5,96
321,40.1,25.5,91
322,38.7,25.4,98
323,42.5,25.4,87
324,50.3,25.3,108
325,42.2,25.2,86
326,44.6,25,82
327,44.4,24.9,91
328,45.5,24.9,85
329,38.1,24.8,110
330,48.6,24.8,85
331,50.4,24.7,72
332,49.3,24.9,79
333,52.3,24.9,84
334,38,24.9,129
335,40.7,24.9,112
336,47.8,24.9,85
337,47.7,24.8,92
338,32.2,25,136
339,37,25,119
340,35.1,24.9,127
341,51.6,24.9,80
342,41.6,24.9,78
343,51.2,24.8,62
344,49.6,24.8,79
345,49.2,24.8,99
346,34.7,24.7,117
347,55.3,26.9,85
348,60.2,26.6,92
349,59.6,26.2,103
350,44.6,26,91
351,60.4,26,106
352,61.5,26,82
366,31.4,26.3,93
367,43.9,26.3,89
368,52,26.3,70
369,39.9,26.2,65
370,49,26.1,55
371,47.6,26.1,54
372,39.8,36,81
373,56.4,25.8,93
374,54.2,25.8,74
375,40.5,25.7,92
376,56.1,25.7,81
377,41.6,25.6,53
378,45.5,25.5,90
379,55.8,25.5,76
380,46.4,25.5,53
381,28.9,25.5,110
382,26,25.5,138
383,34.3,25.5,82
384,28.8,25.5,126
385,47,25.4,66
386,52.7,25.4,55
353,54.7,26.1,97
