id,time,Moi,type
244,9:30:00,48.3,2
245,9:30:00,49,2
246,9:30:00,48,2
247,9:30:00,49.2,2
248,9:30:00,50.8,2
249,9:30:00,50.6,2
375,9:30:00,40.5,1
376,9:30:00,56.1,1
377,9:30:00,41.6,1
378,9:30:00,45.5,1
379,9:30:00,55.8,1
380,9:30:00,46.4,1
381,9:30:00,28.9,1
382,9:30:00,26,1
383,9:30:00,34.3,1
384,9:30:00,28.8,1
385,9:30:00,47,1
386,9:30:00,52.7,1
94,10:00:00,23,1
263,10:00:00,45.2,2
264,10:00:00,46.6,2
265,10:00:00,49.8,2
266,10:00:00,53.5,2
267,10:00:00,46.5,2
268,10:00:00,54.5,2
95,10:00:00,40.9,1
96,10:00:00,41.6,1
97,10:00:00,30.8,1
98,10:00:00,35.2,1
99,10:00:00,11.4,1
100,10:00:00,35.4,1
101,10:00:00,32.8,1
102,10:00:00,27.3,1
138,10:00:00,29.9,1
139,10:00:00,30.9,1
140,10:00:00,49.6,1
141,10:00:00,44.4,1
142,10:00:00,44,1
143,10:00:00,44.2,1
144,10:00:00,30.8,1
145,10:00:00,31,1
146,10:00:00,30.6,1
147,10:00:00,29.9,1
148,10:00:00,38,1
149,10:00:00,32.1,1
150,10:00:00,42.1,1
181,10:00:00,27.8,1
182,10:00:00,21.6,1
183,10:00:00,28.4,1
184,10:00:00,38.1,1
185,10:00:00,27,1
186,10:00:00,37.7,1
187,10:00:00,37.4,1
188,10:00:00,54.5,1
189,10:00:00,44.1,1
190,10:00:00,49.7,1
256,10:00:00,33.5,1
257,10:00:00,37.9,1
258,10:00:00,53.8,1
259,10:00:00,40,1
260,10:00:00,32.2,1
261,10:00:00,40.4,1
262,10:00:00,46.8,1
307,10:30:00,28.6,3
308,10:30:00,34.7,3
309,10:30:00,28.4,3
310,10:30:00,24.3,3
311,10:00:00,23.1,3
312,10:00:00,27.4,3
295,10:00:00,31.4,1
296,10:00:00,27.4,1
297,10:00:00,38.3,1
298,10:00:00,35,1
299,10:00:00,47.2,1
300,10:00:00,43.8,1
301,10:00:00,47.7,1
302,10:00:00,52.3,1
303,10:00:00,47.2,1
304,10:00:00,34.7,1
305,10:00:00,31.4,1
306,10:00:00,33.7,1
353,10:00:00,54.7,1
354,10:00:00,32,1
355,10:00:00,57.2,1
356,10:00:00,50.6,1
357,10:00:00,60.6,1
358,10:00:00,56.9,1
359,10:00:00,50.1,1
387,10:00:00,34.3,1
388,10:00:00,29.9,1
389,10:00:00,26.5,1
390,10:00:00,36.6,1
391,10:00:00,38.3,1
392,10:00:00,46.1,1
393,10:00:00,38.2,1
394,10:00:00,51.1,1
395,10:00:00,44.9,1
30,10:30:00,56.8,1
31,10:30:00,59.5,1
32,10:30:00,54.4,1
33,10:30:00,44.2,1
34,10:30:00,47.6,1
35,10:30:00,51.8,1
36,10:30:00,52.2,1
103,10:30:00,13.1,1
104,10:30:00,31.1,1
105,10:30:00,22,1
106,10:30:00,21.1,1
191,10:30:00,50.2,1
192,10:30:00,39.7,1
193,10:30:00,40.5,1
194,10:30:00,48.8,1
195,10:30:00,23.6,1
196,10:30:00,40.7,1
197,10:30:00,34.7,1
198,10:30:00,47.6,1
199,10:30:00,22.9,1
360,10:30:00,51.3,1
361,10:30:00,48.7,1
362,10:30:00,53.2,1
363,10:30:00,56.6,1
364,10:30:00,53.3,1
365,10:30:00,53.5,1
112,11:00:00,34.7,1
113,11:00:00,29.1,1
114,11:00:00,35,1
115,11:00:00,25.7,1
200,11:00:00,34.8,1
201,11:00:00,39.7,1
202,11:00:00,35,1
203,11:00:00,24.4,1
204,11:00:00,48.8,1
205,11:00:00,43,1
206,11:00:00,44.9,1
214,11:30:00,40.4,1
215,11:30:00,30.4,1
216,11:30:00,27.4,1
217,11:30:00,30.6,1
218,11:30:00,40.2,1
219,11:30:00,46.3,1
220,11:30:00,40.1,1
221,11:30:00,37.8,1
222,11:30:00,48.2,1
223,11:30:00,53.7,1
224,12:00:00,23,1
225,12:00:00,24.1,1
226,12:00:00,26.3,1
227,12:00:00,43.5,1
228,12:00:00,23.2,1
229,12:00:00,45.9,1
230,12:00:00,40.7,1
231,12:00:00,37.1,1
,9:30:00,55.9,
,9:30:00,62.6,
,9:30:00,53.4,
,9:30:00,63,
,9:30:00,54.4,
,10:00:00,39.7,
,10:00:00,55.2,
,10:00:00,53.5,
,10:00:00,41.9,
,10:00:00,48.3,
,10:00:00,42.6,
,11:30:00,36.5,
,11:30:00,31.3,
,11:30:00,43.2,
,12:00:00,50.3,
,12:00:00,46.9,
,12:00:00,48.6,
,10:30:00,45.6,
,10:30:00,48.8,
,10:30:00,56.5,
,10:30:00,55.3,
,10:30:00,50.3,
,10:30:00,47.5,
,10:30:00,49.2,
,10:30:00,47.6,
,10:30:00,49.7,
,10:30:00,47.9,
,10:30:00,41.8,
,10:30:00,50.8,
