InputID,TargetID,Distance
1,2,5
1,3,9.300533488
1,4,14.04257883
1,5,18.9179311
1,6,23.73286248
1,7,28.57071203
1,8,33.32246861
1,9,37.36905487
1,10,41.62337816
2,1,5
2,3,4.927485605
2,4,9.92558605
2,5,14.92495904
2,6,19.88730705
2,7,24.85171734
2,8,29.63499249
2,9,33.38114457
2,10,37.42150245
3,1,9.300533488
3,2,4.927485605
3,4,5
3,5,10
3,6,14.96994219
3,7,19.94507057
3,8,24.72743781
3,9,28.45521074
3,10,32.52617186
4,1,14.04257883
4,2,9.92558605
4,3,5
4,5,5
4,6,9.974479594
4,7,14.95855548
4,8,19.73848594
4,9,23.46853783
4,10,27.60320106
5,1,18.9179311
5,2,14.92495904
5,3,10
5,4,5
5,6,4.988117611
5,7,9.985535728
5,8,14.7570144
5,9,18.48906483
5,10,22.7139068
6,1,23.73286248
6,2,19.88730705
6,3,14.96994219
6,4,9.974479594
6,5,4.988117611
6,7,5
6,8,9.768987149
6,9,13.64555739
6,10,18.08229418
7,1,28.57071203
7,2,24.85171734
7,3,19.94507057
7,4,14.95855548
7,5,9.985535728
7,6,5
7,8,4.783279134
7,9,9.054675432
7,10,13.8236947
8,1,33.32246861
8,2,29.63499249
8,3,24.72743781
8,4,19.73848594
8,5,14.7570144
8,6,9.768987149
8,7,4.783279134
8,9,5
8,10,10
9,1,37.36905487
9,2,33.38114457
9,3,28.45521074
9,4,23.46853783
9,5,18.48906483
9,6,13.64555739
9,7,9.054675432
9,8,5
9,10,5
10,1,41.62337816
10,2,37.42150245
10,3,32.52617186
10,4,27.60320106
10,5,22.7139068
10,6,18.08229418
10,7,13.8236947
10,8,10
10,9,5
11,12,43.98543703
11,13,65.0666253
11,14,70.78709205
11,16,104.9720344
11,15,97.07027525
11,17,116.4220112
11,18,126.3908788
11,19,161.1146241
11,20,160.0517033
11,21,164.7532662
12,11,43.98543703
12,13,28.26819998
12,14,44.77173135
12,16,93.61388124
12,15,73.32234282
12,17,86.86690771
12,18,88.49841003
12,19,119.9777058
12,20,126.6734559
12,21,137.8380438
13,11,65.0666253
13,12,28.26819998
13,14,65.81099544
13,16,116.8617455
13,15,92.09238538
13,17,100.4010044
13,18,92.91436442
13,19,116.9516257
13,20,134.3361047
13,21,150.7663266
14,11,70.78709205
14,12,44.77173135
14,13,65.81099544
14,16,51.17655391
14,15,28.74328
14,17,45.7102167
14,18,59.29264753
14,19,97.45903963
14,20,89.36579977
14,21,95.30374754
15,11,97.07027525
15,12,73.32234282
15,13,92.09238538
15,14,28.74328
15,16,31.67109105
15,17,22.6948278
15,18,49.19563289
15,19,87.78764505
15,20,66.86566925
15,21,67.68876897
16,11,104.9720344
16,12,93.61388124
16,13,116.8617455
16,14,51.17655391
16,15,31.67109105
16,17,47.13349082
16,18,78.03532921
16,19,114.7429418
16,20,83.16026691
16,21,71.40332943
17,11,116.4220112
17,12,86.86690771
17,13,100.4010044
17,14,45.7102167
17,16,47.13349082
17,15,22.6948278
17,18,31.50195699
17,19,67.67990676
17,20,44.62966868
17,21,51.04206524
18,11,126.3908788
18,12,88.49841003
18,13,92.91436442
18,14,59.29264753
18,16,78.03532921
18,15,49.19563289
18,17,31.50195699
18,19,39.11606649
18,20,42.11055786
18,21,64.98789757
19,11,161.1146241
19,12,119.9777058
19,13,116.9516257
19,14,97.45903963
19,16,114.7429418
19,15,87.78764505
19,17,67.67990676
19,18,39.11606649
19,20,48.70842663
19,21,79.41050092
20,11,160.0517033
20,12,126.6734559
20,13,134.3361047
20,14,89.36579977
20,16,83.16026691
20,15,66.86566925
20,17,44.62966868
20,18,42.11055786
20,19,48.70842663
20,21,30.75029183
21,11,164.7532662
21,12,137.8380438
21,13,150.7663266
21,14,95.30374754
21,16,71.40332943
21,15,67.68876897
21,17,51.04206524
21,18,64.98789757
21,19,79.41050092
21,20,30.75029183
22,23,5
22,24,10
22,25,14.99447504
22,26,19.97323606
22,27,23.51668449
22,28,25.67254732
22,29,28.55039269
22,30,57.2837588
22,31,80.37947422
22,32,99.85155472
22,33,113.8316709
22,34,123.7797492
22,35,133.605285
22,36,143.2701906
22,37,169.5469116
22,38,173.3927118
22,39,178.0322297
22,40,183.0318075
22,41,193.0310288
23,22,5
23,24,5
23,25,9.994654362
23,26,14.97698162
23,27,18.52224287
23,28,20.82944928
23,29,23.9720344
23,30,53.00428353
23,31,76.21150739
23,32,95.66656731
23,33,109.7131756
23,34,119.6831575
23,35,129.4957675
23,36,139.1057311
23,37,165.3313974
23,38,169.2281689
23,39,173.8842409
23,40,178.8842233
23,41,188.8841909
24,22,10
24,23,5
24,25,4.995192669
24,26,9.984477855
24,27,13.53190721
24,28,16.08266858
24,29,19.60081489
24,30,48.86183708
24,31,72.14934401
24,32,91.56337271
24,33,105.670774
24,34,115.6576417
24,35,125.4509284
24,36,134.9980049
24,37,161.160748
24,38,165.1100051
24,39,169.7821653
24,40,174.7812579
24,41,184.7795904
25,22,14.99447504
25,23,9.994654362
25,24,4.995192669
25,26,5
25,27,8.571248421
25,28,11.6085557
25,29,15.6860075
25,30,44.96476933
25,31,68.28218529
25,32,87.62149065
25,33,101.7827571
25,34,111.7802679
25,35,121.5458283
25,36,131.0189514
25,37,157.1028189
25,38,161.1075833
25,39,165.7956265
25,40,170.7922558
25,41,180.7860736
26,22,19.97323606
26,23,14.97698162
26,24,9.984477855
26,25,5
26,27,3.901610885
26,28,8.169873589
26,29,12.97193515
26,30,41.64577442
26,31,64.90099484
26,32,84.10881049
26,33,98.31535547
26,34,108.3146315
26,35,118.0386597
26,36,127.41747
26,37,153.394203
26,38,157.462539
26,39,162.1672224
26,40,167.1589953
26,41,177.1439333
27,22,23.51668449
27,23,18.52224287
27,24,13.53190721
27,25,8.571248421
27,26,3.901610885
27,28,5
27,29,10
27,30,37.98703483
27,31,61.19100653
27,32,80.34656951
27,33,94.56271852
27,34,104.5601776
27,35,114.2699756
27,36,123.6210506
27,37,149.5685419
27,38,153.6520122
27,39,158.3605638
27,40,163.3507671
27,41,173.3328677
28,22,25.67254732
28,23,20.82944928
28,24,16.08266858
28,25,11.6085557
28,26,8.169873589
28,27,5
28,29,5
28,30,33.55816591
28,31,56.85064751
28,32,76.12556851
28,33,90.31197146
28,34,100.3118684
28,35,110.0577787
28,36,119.4898844
28,37,145.5373896
28,38,149.5637789
28,39,154.2583087
28,40,159.2533404
28,41,169.244284
29,22,28.55039269
29,23,23.9720344
29,24,19.60081489
29,25,15.6860075
29,26,12.97193515
29,27,10
29,28,5
29,30,29.31358359
29,31,52.62749248
29,32,72.0043966
29,33,86.14172419
29,34,96.13589935
29,35,105.9141254
29,36,115.4274699
29,37,141.5680572
29,38,145.5324949
29,39,150.2104639
29,40,155.2088262
29,41,165.2058482
30,22,57.2837588
30,23,53.00428353
30,24,48.86183708
30,25,44.96476933
30,26,41.64577442
30,27,37.98703483
30,28,33.55816591
30,29,29.31358359
30,31,23.31760219
30,32,42.70161556
30,33,56.82814165
30,34,66.82264784
30,35,76.60142849
30,36,86.1372455
30,37,112.3298737
30,38,116.2523068
30,39,120.921342
30,40,125.9206372
30,41,135.9193833
31,22,80.37947422
31,23,76.21150739
31,24,72.14934401
31,25,68.28218529
31,26,64.90099484
31,27,61.19100653
31,28,56.85064751
31,29,52.62749248
31,30,23.31760219
31,32,19.47350519
31,33,33.52147269
31,34,43.51093758
31,35,53.30206829
31,36,62.89804976
31,37,89.1723468
31,38,93.02168812
31,39,97.67322976
31,40,102.673229
31,41,112.6732276
32,22,99.85155472
32,23,95.66656731
32,24,91.56337271
32,25,87.62149065
32,26,84.10881049
32,27,80.34656951
32,28,76.12556851
32,29,72.0043966
32,30,42.70161556
32,31,19.47350519
32,33,14.23487613
32,34,24.22007773
