plot,id,time,LAI,SEL,DIFN,MTA,SEM,SMP,2*(S+I),std,95_conf,LAI.l,LAI.u,LAI.cv,area,gap_area,gap_rate,chm_range,chm_mean,chm_std,chm_cv,chm_1q,chm_median,chm_3q,moi_mean,moi_sd,moi_cv,twi_mean,twi_std,Ltmag,Ltyod
DRL2,21,10:04,6.69,0.3,0.004,42,4,8,6.64,0.848528137,0.6435,6.0465,7.3335,0.044843049,920.993,23.433,0.02544319,39.7539978,26.10473473,8.005877787,30.6682978,23.4056,26.3915,32.3871,26.75,5.846622957,0.218565344,13.81015983,0.43103698,0,2018
DRL2,22,10:21,1.36,0.51,0.351,47,4,4,1.28,1.02,1.09395,0.26605,2.45395,0.375,767.701,626.548,0.816135449,26.99563599,1.967466043,3.647115882,185.3712238,0,0,2.76331,49.31666667,1.160028735,0.023522043,14.43178069,0.268816091,160,2018
DRL2,23,10:43,6.28,0.2,0.005,41,2,8,6.1,0.565685425,0.429,5.851,6.709,0.031847134,934.852,128.917,0.137900973,34.93157959,16.43528485,8.930392314,54.33670541,7.39999,18.6394,23.4647,33.28333333,8.611949063,0.258746592,13.49456809,0.47088097,0,2018
DRL2,24,10:59,7.24,0.23,0.002,41,4,8,7.17,0.650538239,0.49335,6.74665,7.73335,0.031767956,736.896,65.01,0.088221404,33.79742432,19.60158332,7.152599891,36.48990887,14.7191,22.0614,24.3985,40.65714286,7.542293449,0.185509677,13.57891634,0.684655306,0,2018
DRL2,25,11:07,1.47,0.12,0.281,37,3,8,1.36,0.339411255,0.2574,1.2126,1.7274,0.081632653,823.353,456.414,0.554335747,34.50265503,12.68461241,11.40275109,89.89435956,0.722229,10.7512,23.8817,49.35,3.920586691,0.079444512,14.42415467,0.408962964,0,2018
DRL1,26,10:09,6.46,0.31,0.004,42,3,8,6.36,0.876812409,0.66495,5.79505,7.12495,0.047987616,1187.207,338.815,0.285388311,46.01774597,11.8174412,10.36516229,87.71071603,4.4446,8.5275,15.5149,43.86666667,9.792786461,0.223239813,13.3907405,0.449071581,0,2018
DRL1,27,10:28,6.93,0.49,0.003,43,5,8,6.91,1.385929291,1.05105,5.87895,7.98105,0.070707071,946.964,30.513,0.032221922,48.02435303,24.6586253,9.792606633,39.71270302,18.4771,27.0591,31.1993,38.04,10.27681857,0.270158217,13.29327091,0.28713858,0,2018
DRL1,28,10:44,6.04,0.25,0.007,44,5,8,6.06,0.707106781,0.53625,5.50375,6.57625,0.041390728,1038.478,66.314,0.063856914,42.55419922,20.82143285,9.582528083,46.02242387,13.4691,21.2276,28.4778,30.38571429,5.989276131,0.197108288,12.89527033,0.055762322,0,2018
DRL1,29,11:04,6.27,0.4,0.006,45,6,8,6.34,1.13137085,0.858,5.412,7.128,0.063795853,1451.736,380.042,0.261784512,38.76893616,9.975708316,8.197758429,82.17720657,3.73294,8.77425,13.6943,45.93333333,6.64549973,0.144677062,12.84173126,0.088218272,0,2018
DRL1,30,11:19,5.41,0.23,0.009,41,3,8,5.31,0.650538239,0.49335,4.91665,5.90335,0.042513863,1012.159,197.654,0.195279595,46.48643494,15.88697054,9.093809904,57.24067961,10.0977,15.5653,22.9085,36.97142857,10.49757342,0.283937457,13.24271782,0.316444824,0,2018
DRL1,31,11:42,3.81,0.28,0.037,38,2,8,3.56,0.791959595,0.6006,3.2094,4.4106,0.073490814,973.477,30.131,0.030951938,43.53935242,24.190806,6.741838186,27.86942355,20.2892,23.9675,28.6871,38.65714286,8.096471895,0.209443101,13.3121415,0.265301296,0,2018
DRL1,32,11:58,5.88,0.51,0.006,33,6,8,5.52,1.442497834,1.09395,4.78605,6.97395,0.086734694,1337.498,53.688,0.040140621,46.46064758,20.85429071,7.956641124,38.15349673,16.7556,22.4188,27.0909,30.34285714,7.804668932,0.257216019,13.21502594,0.360297989,0,2018
DRL1,33,12:17,5.73,0.35,0.008,42,2,8,5.62,0.989949494,0.75075,4.97925,6.48075,0.061082024,1502.954,244.588,0.162738181,40.37590027,15.12172817,8.969746259,59.3169389,8.55537,14.6485,22.9636,38.00909091,9.403983682,0.247414065,13.21740795,0.212613809,36,2018
DRL1,34,12:33,6.14,0.29,0.005,40,2,8,5.95,0.820243866,0.62205,5.51795,6.76205,0.04723127,978.227,75.624,0.07730721,37.77134705,19.56022482,8.365882423,42.76986845,15.4866,21.5893,25.0104,34.4,9.653842068,0.280634944,13.04893558,0.320264503,67,2018
ETA,35,9:40,5.93,0.23,0.006,42,3,10,5.92,0.727323862,0.49335,5.43665,6.42335,0.038785835,1491.175,0,0,127.2771454,39.10654284,11.0597223,28.28100236,30.523,39.095,49.0932,31.57,9.532173589,0.301937713,12.67258389,0.343933245,0,0
pri,36,10:22,5.97,0.25,0.006,42,3,10,5.93,0.790569415,0.53625,5.43375,6.50625,0.041876047,1334.715,5.433,0.004070532,47.6867218,27.31282477,10.38203329,38.0115692,20.114,28.7951,36.1377,27.1,0.173205081,0.006391331,13.29889995,0.136209778,0,0
pri,37,10:50,4.61,0.2,0.102,43,25,10,5.25,0.632455532,0.429,4.181,5.039,0.043383948,1228.682,21.143,0.01720787,51.22926331,28.97874902,10.45642178,36.08306821,25.0435,29.6714,35.877,26.8,0.173205081,0.006462876,13.15503227,0.346624533,0,0
pri,38,11:00,5.28,0.25,0.048,49,26,10,6.05,0.790569415,0.53625,4.74375,5.81625,0.047348485,1371.243,122.221,0.08913154,50.88066101,19.71878129,9.818610447,49.79319107,11.8421,22.093,27.606,27.1,0.173205081,0.006391331,12.70317514,0.172374063,0,0
pri,39,11:30,5.08,0.27,0.015,45,5,10,5.13,0.853814968,0.57915,4.50085,5.65915,0.053149606,1278.087,87.859,0.068742582,63.88490295,17.87868372,9.241830668,51.69189642,10.8057,19.106,23.2315,27.1,1.697056275,0.062622003,14.20441961,0.960205097,0,0
pri,40,11:43,6.26,0.3,0.005,41,3,10,6.14,0.948683298,0.6435,5.6165,6.9035,0.047923323,1479.572,120.984,0.081769593,64.10565186,28.86329676,17.05650617,59.09410248,14.5561,26.9238,45.8139,38.3,6.222539674,0.162468399,12.68611507,0.85298599,0,0
pri,41,11:50,6.04,0.38,0.006,43,5,10,6.03,1.201665511,0.8151,5.2249,6.8551,0.062913907,1475.765,57.867,0.039211528,51.0428772,25.06124822,9.953652598,39.71730583,18.7046,24.586,32.7658,29.5,1.555634919,0.052733387,13.44532127,0.845369035,0,0
pri,42,11:58,6.25,0.16,0.005,40,2,10,6.05,0.505964426,0.3432,5.9068,6.5932,0.0256,1207.731,33.555,0.027783505,35.47212219,23.61424195,7.457864424,31.58206154,19.6935,25.7085,29.068,17.2,8.697413409,0.50566357,13.90674159,0.336185555,0,0
pri,43,12:06,5.74,0.18,0.007,39,3,10,5.51,0.569209979,0.3861,5.3539,6.1261,0.031358885,1387.536,0,0,44.03431702,30.84634851,6.236935713,20.21936474,27.1883,32.0822,35.5589,27.5,7.283199846,0.264843631,13.31806042,0.703924407,0,0
pri,44,12:14,6.54,0.15,0.004,41,2,10,6.36,0.474341649,0.32175,6.21825,6.86175,0.02293578,1216.908,25.555,0.01841754,38.68151855,27.56476541,6.927937101,25.13330695,25.4868,28.5094,32.0177,28.5,7.990306627,0.280361636,13.30611423,0.826202685,0,0
pri,45,12:22,6.49,0.16,0.004,41,2,10,6.35,0.505964426,0.3432,6.1468,6.8332,0.024653313,1297.493,22.234,0.018270896,47.1652832,26.2150725,10.54897912,40.2401295,17.7366,27.1355,35.476,15.4,9.263098834,0.601499924,12.40309377,0.109675459,0,0
p2023-1,46,9:54,2.87,0.46,0.106,56,5,6,2.97,1.126765282,0.9867,1.8833,3.8567,0.160278746,875.838,266,0.303709133,34.45497131,10.52817778,8.231516121,78.18557301,0.128586,12.6974,17.9259,50.71428571,5.22890319,0.103105133,14.64619121,0.172387743,457,1996
p2023-1,47,10:09,2.3,0.44,0.213,67,7,5,2.57,0.98386991,0.9438,1.3562,3.2438,0.191304348,975.393,535.33,0.548835187,22.70409775,3.416016868,4.87223906,142.6292448,0,0.0262833,7.14149,53.21666667,2.318979661,0.043576192,14.52395698,0.323572191,356,1996
p2023-1,48,10:17,3.54,0.71,0.053,46,6,6,3.58,1.739137717,1.52295,2.01705,5.06295,0.200564972,1074.14,662.174,0.616468989,30.95590973,7.34625367,9.802854853,133.44019,0,0,15.0075,51.5,6.369458376,0.123678803,14.24034842,0.348172007,476,1996
p2023-1,49,10:29,3.19,0.33,0.104,61,9,8,3.42,0.933380951,0.70785,2.48215,3.89785,0.103448276,947.976,298.954,0.315360304,43.60268021,19.90432912,12.71666196,63.8889253,3.03512,24.7538,30.3033,46.4,5.313504807,0.11451519,16.76751393,2.568267108,228,1996
p2023-2,50,11:10,1.91,0,0.187,0,0,1,1.68,0,0,1.91,1.91,0,833.29,688.83,0.826638985,34.62300491,3.383825221,7.94406166,234.7657204,0,0,0.120033,58.9,6.501153744,0.110376125,15.21579741,1.129464501,339,1996
